name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,price_category,mileage_category,age_category,log_price,owner_encoded,transmission_encoded,fuel_encoded,seller_type_encoded,brand_encoded,price_category_encoded,mileage_category_encoded,age_category_encoded
Mahindra XUV500 W10 2WD,2015,1200000,75000,Diesel,Dealer,Manual,Second Owner,9,Mahindra,Luxury,Medium,Old,13.997832114758229,1,0,1,0,17,3,1,2
Skoda Fabia 1.2L Diesel Ambiente,2010,260000,150000,Diesel,Individual,Manual,First Owner,14,Skoda,Budget,High,Old,12.468436909997665,0,0,1,1,24,0,2,2
Toyota Etios VD,2012,350000,140000,Diesel,Individual,Manual,Third Owner,12,Toyota,Mid-Range,High,Old,12.765688433465597,2,0,1,1,26,1,2,2
Toyota Etios Liva VD,2015,480000,70000,Diesel,Individual,Manual,First Owner,9,Toyota,Mid-Range,Medium,Old,13.081541382884074,0,0,1,1,26,1,1,2
Toyota Etios Liva GD,2012,345000,137250,Diesel,Individual,Manual,Second Owner,12,Toyota,Mid-Range,High,Old,12.751299696013497,1,0,1,1,26,1,2,2
Mahindra Scorpio M2DI,2013,500000,110000,Diesel,Individual,Manual,Second Owner,11,Mahindra,Mid-Range,High,Old,13.122363377404328,1,0,1,1,17,1,2,2
Hyundai Grand i10 Asta Option,2017,595000,27000,Petrol,Dealer,Manual,First Owner,7,Hyundai,Mid-Range,Low,Recent,13.296316684527767,0,0,4,0,10,1,0,1
Hyundai Verna CRDi 1.6 SX Option,2019,1295000,9000,Diesel,Dealer,Manual,First Owner,5,Hyundai,Luxury,Low,Recent,14.074021253115776,0,0,1,0,10,3,0,1
Volkswagen Vento 1.5 TDI Highline BSIV,2019,1350000,5400,Diesel,Dealer,Manual,Test Drive Car,5,Volkswagen,Luxury,Low,Recent,14.115615150414612,4,0,1,0,27,3,0,1
Renault KWID Climber 1.0 MT Opt BSIV,2020,541000,1000,Petrol,Dealer,Manual,Test Drive Car,4,Renault,Mid-Range,Low,Recent,13.201174557828619,4,0,4,0,23,1,0,1
Hyundai Santro Asta,2018,515000,16000,Petrol,Dealer,Manual,First Owner,6,Hyundai,Mid-Range,Low,Recent,13.151922179645874,0,0,4,0,10,1,0,1
Ford Figo Aspire Titanium Plus Diesel,2019,894999,13000,Diesel,Dealer,Manual,Test Drive Car,5,Ford,Premium,Low,Recent,13.704577879937933,4,0,1,0,8,2,0,1
Renault Pulse RxZ Optional,2012,325000,47000,Diesel,Dealer,Manual,First Owner,12,Renault,Mid-Range,Low,Old,12.691580461311874,0,0,1,0,23,1,0,2
Maruti Ciaz 1.4 Alpha,2018,925000,22000,Petrol,Individual,Manual,First Owner,6,Maruti,Premium,Low,Recent,13.737549016494562,0,0,4,1,18,2,0,1
Nissan Terrano XL P,2017,844999,30000,Petrol,Individual,Manual,First Owner,7,Nissan,Premium,Low,Recent,13.647090722906658,0,0,4,1,21,2,0,1
Maruti Ciaz 1.4 Alpha,2018,925000,20000,Petrol,Individual,Manual,First Owner,6,Maruti,Premium,Low,Recent,13.737549016494562,0,0,4,1,18,2,0,1
Tata Manza Club Class Quadrajet90 LX,2013,300000,60000,Diesel,Individual,Manual,First Owner,11,Tata,Budget,Medium,Old,12.611537753638338,0,0,1,1,25,0,1,2
Toyota Camry M/t,2008,650000,75000,Petrol,Individual,Manual,Second Owner,16,Toyota,Premium,Medium,Very Old,13.38472764187182,1,0,4,1,26,2,1,3
Maruti Alto K10 LXI,2010,175000,64000,Petrol,Dealer,Manual,First Owner,14,Maruti,Budget,Medium,Old,12.072541252905651,0,0,4,0,18,0,1,2
Maruti SX4 S Cross DDiS 320 Delta,2015,325000,80000,Diesel,Individual,Manual,First Owner,9,Maruti,Mid-Range,Medium,Old,12.691580461311874,0,0,1,1,18,1,1,2
Renault Duster 85PS Diesel RxZ,2017,600000,90000,Diesel,Individual,Manual,First Owner,7,Renault,Mid-Range,Medium,Recent,13.304684934198283,0,0,1,1,23,1,1,1
Maruti Swift ZXI Plus,2018,700000,30000,Petrol,Individual,Manual,First Owner,6,Maruti,Premium,Low,Recent,13.458835614025542,0,0,4,1,18,2,0,1
Toyota Corolla H3,2003,95000,120000,Petrol,Individual,Automatic,Second Owner,21,Toyota,Budget,High,Very Old,11.461632170582678,1,1,4,1,26,0,2,3
Maruti Celerio ZXI,2019,490000,20000,Petrol,Dealer,Manual,First Owner,5,Maruti,Mid-Range,Low,Recent,13.102160670086809,0,0,4,0,18,1,0,1
Tata Safari DICOR 2.2 EX 4x2,2013,380000,100000,Diesel,Individual,Manual,First Owner,11,Tata,Mid-Range,Medium,Old,12.84792653170257,0,0,1,1,25,1,1,2
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2018,550000,31000,Petrol,Dealer,Manual,First Owner,6,Hyundai,Mid-Range,Low,Recent,13.217673557208654,0,0,4,0,10,1,0,1
Maruti Alto 800 LXI,2013,225000,47000,Petrol,Dealer,Manual,First Owner,11,Maruti,Budget,Low,Old,12.323855681186558,0,0,4,0,18,0,0,2
Tata Nexon 1.2 Revotron XM,2018,570000,11200,Petrol,Individual,Manual,First Owner,6,Tata,Mid-Range,Low,Recent,13.253391639810733,0,0,4,1,25,1,0,1
Maruti Alto 800 LXI,2018,305000,35000,Petrol,Dealer,Manual,First Owner,6,Maruti,Mid-Range,Low,Recent,12.628067055589549,0,0,4,0,18,1,0,1
Maruti Wagon R Duo Lxi,2010,240000,50000,LPG,Dealer,Manual,First Owner,14,Maruti,Budget,Low,Old,12.388394202324129,0,0,3,0,18,0,0,2
Maruti Ertiga SHVS VDI,2015,700000,55000,Diesel,Dealer,Manual,First Owner,9,Maruti,Premium,Medium,Old,13.458835614025542,0,0,1,0,18,2,1,2
Maruti Omni E MPI STD BS IV,2018,288000,20000,Petrol,Dealer,Manual,First Owner,6,Maruti,Budget,Low,Recent,12.570715759118084,0,0,4,0,18,0,0,1
Mahindra Bolero B4,2017,800000,75000,Diesel,Dealer,Manual,First Owner,7,Mahindra,Premium,Medium,Recent,13.592367006650065,0,0,1,0,17,2,1,1
Maruti Celerio VXI,2017,430000,93000,Petrol,Dealer,Manual,First Owner,7,Maruti,Mid-Range,Medium,Recent,12.971540487669746,0,0,4,0,18,1,1,1
Chevrolet Beat Diesel LT Option,2009,195000,57000,Diesel,Dealer,Manual,Second Owner,15,Chevrolet,Budget,Medium,Old,12.180754837545884,1,0,1,0,3,0,1,2
Maruti Eeco Smiles 5 Seater AC,2014,325000,30000,Petrol,Dealer,Manual,First Owner,10,Maruti,Mid-Range,Low,Old,12.691580461311874,0,0,4,0,18,1,0,2
Renault Duster 85PS Diesel RxE,2013,450000,73000,Diesel,Dealer,Manual,First Owner,11,Renault,Mid-Range,Medium,Old,13.017002861746503,0,0,1,0,23,1,1,2
Maruti Swift Dzire VDI,2016,630000,65000,Diesel,Dealer,Manual,First Owner,8,Maruti,Premium,Medium,Old,13.353475098367715,0,0,1,0,18,2,1,2
Maruti Swift 1.3 VXi,2009,250000,62000,Petrol,Dealer,Manual,Second Owner,15,Maruti,Budget,Medium,Old,12.429216196844383,1,0,4,0,18,0,1,2
Hyundai Santro GLS I - Euro II,2007,135000,85000,Petrol,Dealer,Manual,First Owner,17,Hyundai,Budget,Medium,Very Old,11.813030057420567,0,0,4,0,10,0,1,3
Chevrolet Spark 1.0 PS,2010,110000,73000,Petrol,Individual,Manual,First Owner,14,Chevrolet,Budget,Medium,Old,11.608235644774552,0,0,4,1,3,0,1,2
Maruti Swift ZDi,2012,350000,55000,Diesel,Dealer,Manual,First Owner,12,Maruti,Mid-Range,Medium,Old,12.765688433465597,0,0,1,0,18,1,1,2
Maruti Omni E MPI STD BS IV,2016,240000,5800,Petrol,Individual,Manual,Second Owner,8,Maruti,Budget,Low,Old,12.388394202324129,1,0,4,1,18,0,0,2
Toyota Innova 2.5 V Diesel 8-seater,2009,350000,350000,Diesel,Individual,Manual,First Owner,15,Toyota,Mid-Range,Very High,Old,12.765688433465597,0,0,1,1,26,1,3,2
Maruti Swift ZXI Plus,2018,600000,30000,Petrol,Individual,Manual,First Owner,6,Maruti,Mid-Range,Low,Recent,13.304684934198283,0,0,4,1,18,1,0,1
Maruti Swift Dzire VDI,2018,750000,20000,Diesel,Individual,Manual,First Owner,6,Maruti,Premium,Low,Recent,13.527828485512494,0,0,1,1,18,2,0,1
Hyundai EON Era Plus,2018,270000,20000,Petrol,Individual,Manual,First Owner,6,Hyundai,Budget,Low,Recent,12.506177237980511,0,0,4,1,10,0,0,1
Maruti Alto LXi,2007,90000,100000,Petrol,Individual,Manual,Second Owner,17,Maruti,Budget,Medium,Very Old,11.407564949312402,1,0,4,1,18,0,1,3
Maruti Wagon R Stingray VXI,2013,350000,65000,Petrol,Individual,Manual,First Owner,11,Maruti,Mid-Range,Medium,Old,12.765688433465597,0,0,4,1,18,1,1,2
Ford Figo Diesel Celebration Edition,2013,285000,90000,Diesel,Individual,Manual,Second Owner,11,Ford,Budget,Medium,Old,12.560244459250788,1,0,1,1,8,0,1,2
Toyota Innova 2.5 E Diesel MS 7-seater,2011,665000,267000,Diesel,Individual,Manual,Second Owner,13,Toyota,Premium,Very High,Old,13.407542319637992,1,0,1,1,26,2,3,2
Mahindra Scorpio 2.6 CRDe,2005,175000,250000,Diesel,Individual,Manual,Second Owner,19,Mahindra,Budget,Very High,Very Old,12.072541252905651,1,0,1,1,17,0,3,3
Mahindra Xylo D2,2011,350000,140000,Diesel,Individual,Manual,Second Owner,13,Mahindra,Mid-Range,High,Old,12.765688433465597,1,0,1,1,17,1,2,2
Honda City i-VTEC CVT ZX,2018,1225000,22000,Petrol,Dealer,Automatic,First Owner,6,Honda,Luxury,Low,Recent,14.018451401960965,0,1,4,0,9,3,0,1
Honda Jazz Select Edition Active,2010,285000,60000,Petrol,Dealer,Manual,Second Owner,14,Honda,Budget,Medium,Old,12.560244459250788,1,0,4,0,9,0,1,2
Honda City i-VTEC VX,2018,1000000,28635,Petrol,Dealer,Manual,First Owner,6,Honda,Premium,Low,Recent,13.815510557964274,0,0,4,0,9,2,0,1
Honda Amaze VX Diesel BSIV,2018,780000,32114,Diesel,Dealer,Manual,First Owner,6,Honda,Premium,Low,Recent,13.567049198665774,0,0,1,0,9,2,0,1
Maruti Celerio VXI,2014,300000,82000,Petrol,Dealer,Manual,Second Owner,10,Maruti,Budget,Medium,Old,12.611537753638338,1,0,4,0,18,0,1,2
Maruti Swift VXI BSIII,2006,160000,95149,Petrol,Dealer,Manual,Second Owner,18,Maruti,Budget,Medium,Very Old,11.982929094215963,1,0,4,0,18,0,1,3
Honda Amaze VX i-VTEC,2018,625000,68458,Petrol,Dealer,Manual,First Owner,6,Honda,Premium,Medium,Recent,13.345506928718539,0,0,4,0,9,2,1,1
Maruti Ritz VXi,2010,265000,42000,Petrol,Individual,Manual,First Owner,14,Maruti,Budget,Low,Old,12.487485104968359,0,0,4,1,18,0,0,2
Honda City i DTEC V,2014,515000,90000,Diesel,Individual,Manual,Second Owner,10,Honda,Mid-Range,Medium,Old,13.151922179645874,1,0,1,1,9,1,1,2
Hyundai i20 Active 1.4 SX,2016,650000,100000,Diesel,Individual,Manual,First Owner,8,Hyundai,Premium,Medium,Old,13.38472764187182,0,0,1,1,10,2,1,2
Mahindra TUV 300 T8,2017,650000,80000,Diesel,Individual,Manual,First Owner,7,Mahindra,Premium,Medium,Recent,13.38472764187182,0,0,1,1,17,2,1,1
Hyundai Getz 1.3 GLS,2010,150000,105546,Petrol,Individual,Manual,First Owner,14,Hyundai,Budget,High,Old,11.918390573078392,0,0,4,1,10,0,2,2
Toyota Etios Liva 1.2 V,2018,500000,10000,Petrol,Individual,Manual,First Owner,6,Toyota,Mid-Range,Low,Recent,13.122363377404328,0,0,4,1,26,1,0,1
Toyota Innova 2.5 GX 7 STR BSIV,2012,1000000,80000,Diesel,Individual,Manual,Second Owner,12,Toyota,Premium,Medium,Old,13.815510557964274,1,0,1,1,26,2,1,2
Hyundai i20 Magna Optional 1.2,2013,340000,35000,Petrol,Individual,Manual,First Owner,11,Hyundai,Mid-Range,Low,Old,12.736700896592344,0,0,4,1,10,1,0,2
Toyota Innova 2.5 G (Diesel) 8 Seater,2013,1010000,120000,Diesel,Individual,Manual,First Owner,11,Toyota,Luxury,High,Old,13.825460888817442,0,0,1,1,26,3,2,2
Toyota Etios GD,2011,350000,120000,Diesel,Individual,Manual,Third Owner,13,Toyota,Mid-Range,High,Old,12.765688433465597,2,0,1,1,26,1,2,2
Maruti Swift VDI BSIV,2016,595000,70000,Diesel,Individual,Manual,First Owner,8,Maruti,Mid-Range,Medium,Old,13.296316684527767,0,0,1,1,18,1,1,2
Mahindra Scorpio VLX 2WD BSIV,2014,700000,130000,Diesel,Individual,Manual,Third Owner,10,Mahindra,Premium,High,Old,13.458835614025542,2,0,1,1,17,2,2,2
Renault KWID RXL,2019,265000,40000,Petrol,Individual,Manual,First Owner,5,Renault,Budget,Low,Recent,12.487485104968359,0,0,4,1,23,0,0,1
Maruti Alto K10 VXI,2015,320000,60000,Petrol,Individual,Manual,Second Owner,9,Maruti,Mid-Range,Medium,Old,12.676076274775909,1,0,4,1,18,1,1,2
Honda City 1.5 S MT,2011,310000,110000,Petrol,Individual,Manual,First Owner,13,Honda,Mid-Range,High,Old,12.644327576461329,0,0,4,1,9,1,2,2
Honda City i DTEC VX,2014,700000,130000,Diesel,Individual,Manual,First Owner,10,Honda,Premium,High,Old,13.458835614025542,0,0,1,1,9,2,2,2
Maruti Alto LXi BSIII,2009,130000,80000,Petrol,Individual,Manual,Second Owner,15,Maruti,Budget,Medium,Old,11.77528972943772,1,0,4,1,18,0,1,2
Maruti Swift Dzire VDi,2009,150000,120000,Diesel,Individual,Manual,Second Owner,15,Maruti,Budget,High,Old,11.918390573078392,1,0,1,1,18,0,2,2
Honda Amaze E i-Dtech,2015,300000,104000,Diesel,Individual,Manual,Second Owner,9,Honda,Budget,High,Old,12.611537753638338,1,0,1,1,9,0,2,2
Maruti Swift Dzire LXi,2011,150000,100000,Petrol,Individual,Manual,Second Owner,13,Maruti,Budget,Medium,Old,11.918390573078392,1,0,4,1,18,0,1,2
Honda City 1.3 EXI,2003,120000,132343,Petrol,Individual,Manual,Second Owner,21,Honda,Budget,High,Very Old,11.695247021764184,1,0,4,1,9,0,2,3
Hyundai Creta 1.4 CRDi S Plus,2016,950000,90000,Diesel,Individual,Manual,Second Owner,8,Hyundai,Premium,Medium,Old,13.764217263576723,1,0,1,1,10,2,1,2
Maruti Wagon R VXI BS IV,2007,100000,60000,Petrol,Individual,Manual,Second Owner,17,Maruti,Budget,Medium,Very Old,11.512925464970229,1,0,4,1,18,0,1,3
Honda Jazz 1.5 SV i DTEC,2015,450000,76000,Diesel,Individual,Manual,First Owner,9,Honda,Mid-Range,Medium,Old,13.017002861746503,0,0,1,1,9,1,1,2
Maruti 800 EX,2004,30000,60000,Petrol,Individual,Manual,Third Owner,20,Maruti,Budget,Medium,Very Old,10.308952660644293,2,0,4,1,18,0,1,3
Mahindra Renault Logan 1.6 Petrol GLSX,2009,200000,30000,Petrol,Individual,Manual,Second Owner,15,Mahindra,Budget,Low,Old,12.206072645530174,1,0,4,1,17,0,0,2
Tata Indigo LS,2010,250000,96000,Diesel,Individual,Manual,Second Owner,14,Tata,Budget,Medium,Old,12.429216196844383,1,0,1,1,25,0,1,2
Maruti Alto VXi,2015,280000,26134,Petrol,Dealer,Manual,First Owner,9,Maruti,Budget,Low,Old,12.542544882151386,0,0,4,0,18,0,0,2
Maruti Ritz VDi,2011,260000,52895,Diesel,Dealer,Manual,First Owner,13,Maruti,Budget,Medium,Old,12.468436909997665,0,0,1,0,18,0,1,2
Hyundai Verna SX Diesel,2013,550000,42324,Diesel,Dealer,Manual,Second Owner,11,Hyundai,Mid-Range,Low,Old,13.217673557208654,1,0,1,0,10,1,0,2
Mahindra XUV500 W10 1.99 mHawk,2016,1044999,65000,Diesel,Dealer,Manual,First Owner,8,Mahindra,Luxury,Medium,Old,13.85952648644279,0,0,1,0,17,3,1,2
Mahindra Scorpio EX,2012,550000,60236,Diesel,Dealer,Manual,First Owner,12,Mahindra,Mid-Range,Medium,Old,13.217673557208654,0,0,1,0,17,1,1,2
Maruti Wagon R VXI BS IV,2014,210000,70000,Petrol,Individual,Manual,Second Owner,10,Maruti,Budget,Medium,Old,12.254862809699606,1,0,4,1,18,0,1,2
Maruti Wagon R VXI BS IV,2014,210000,70000,Petrol,Individual,Manual,Third Owner,10,Maruti,Budget,Medium,Old,12.254862809699606,2,0,4,1,18,0,1,2
Mahindra Xylo E8,2009,290000,100000,Diesel,Individual,Manual,Second Owner,15,Mahindra,Budget,Medium,Old,12.577636201962656,1,0,1,1,17,0,1,2
Fiat 500 Lounge,2008,250999,110000,Diesel,Individual,Manual,First Owner,16,Fiat,Budget,High,Very Old,12.43320423404224,0,0,1,1,6,0,2,3
Renault Triber RXT BSIV,2019,600000,10300,Petrol,Individual,Manual,First Owner,5,Renault,Mid-Range,Low,Recent,13.304684934198283,0,0,4,1,23,1,0,1
Fiat Grande Punto EVO 1.3 Active,2014,270000,120000,Diesel,Individual,Manual,Second Owner,10,Fiat,Budget,High,Old,12.506177237980511,1,0,1,1,6,0,2,2
Tata New Safari 4X4 EX,2012,550000,142000,Diesel,Individual,Manual,First Owner,12,Tata,Mid-Range,High,Old,13.217673557208654,0,0,1,1,25,1,2,2
Mahindra TUV 300 mHAWK100 T8,2017,800000,25000,Diesel,Individual,Manual,First Owner,7,Mahindra,Premium,Low,Recent,13.592367006650065,0,0,1,1,17,2,0,1
Tata Altroz XE,2020,500000,5000,Petrol,Individual,Manual,First Owner,4,Tata,Mid-Range,Low,Recent,13.122363377404328,0,0,4,1,25,1,0,1
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2016,396000,28643,Petrol,Dealer,Manual,First Owner,8,Hyundai,Mid-Range,Low,Old,12.889169490236618,0,0,4,0,10,1,0,2
Honda City i DTEC VX,2014,600000,50000,Diesel,Individual,Manual,First Owner,10,Honda,Mid-Range,Low,Old,13.304684934198283,0,0,1,1,9,1,0,2
Maruti Wagon R ZXI 1.2,2019,575000,30000,Petrol,Dealer,Manual,First Owner,5,Maruti,Mid-Range,Low,Recent,13.262125319779487,0,0,4,0,18,1,0,1
Hyundai Santro Sportz BSIV,2020,520000,5000,Petrol,Individual,Manual,First Owner,4,Hyundai,Mid-Range,Low,Recent,13.16158409055761,0,0,4,1,10,1,0,1
Mahindra XUV500 AT W10 FWD,2018,1400000,30000,Diesel,Individual,Automatic,First Owner,6,Mahindra,Luxury,Low,Recent,14.151982794585487,0,1,1,1,17,3,0,1
Maruti Baleno Delta Automatic,2018,600000,7600,Petrol,Individual,Automatic,First Owner,6,Maruti,Mid-Range,Low,Recent,13.304684934198283,0,1,4,1,18,1,0,1
Chevrolet Beat Diesel LS,2013,195000,47253,Diesel,Dealer,Manual,First Owner,11,Chevrolet,Budget,Low,Old,12.180754837545884,0,0,1,0,3,0,0,2
Maruti Alto K10 VXI AGS,2015,281000,4432,Petrol,Dealer,Automatic,Second Owner,9,Maruti,Budget,Low,Old,12.546109948315882,1,1,4,0,18,0,0,2
Tata Indica GLS BS IV,2010,75000,110000,Petrol,Individual,Manual,Second Owner,14,Tata,Budget,High,Old,11.225243392518447,1,0,4,1,25,0,2,2
Hyundai Grand i10 Sportz,2014,400000,25000,Petrol,Individual,Manual,First Owner,10,Hyundai,Mid-Range,Low,Old,12.89921982609012,0,0,4,1,10,1,0,2
Tata Indica Vista Terra 1.4 TDI,2009,93000,70000,Diesel,Individual,Manual,Second Owner,15,Tata,Budget,Medium,Old,11.440354772135393,1,0,1,1,25,0,1,2
Hyundai i20 Active S Petrol,2016,560000,68523,Petrol,Dealer,Manual,First Owner,8,Hyundai,Mid-Range,Medium,Old,13.235692062711331,0,0,4,0,10,1,1,2
Hyundai EON 1.0 Era Plus,2019,400000,5000,Petrol,Individual,Manual,First Owner,5,Hyundai,Mid-Range,Low,Recent,12.89921982609012,0,0,4,1,10,1,0,1
Tata Tigor 1.2 Revotron XT,2018,459999,40000,Petrol,Individual,Manual,First Owner,6,Tata,Mid-Range,Low,Recent,13.038979594549872,0,0,4,1,25,1,0,1
Hyundai Xcent 1.2 CRDi E,2017,450000,43000,Diesel,Individual,Manual,First Owner,7,Hyundai,Mid-Range,Low,Recent,13.017002861746503,0,0,1,1,10,1,0,1
Maruti Alto Green LXi (CNG),2010,88000,80251,CNG,Dealer,Manual,Second Owner,14,Maruti,Budget,Medium,Old,11.385092093460344,1,0,0,0,18,0,1,2
Hyundai i20 1.2 Era,2010,250000,34500,Petrol,Individual,Manual,Second Owner,14,Hyundai,Budget,Low,Old,12.429216196844383,1,0,4,1,10,0,0,2
Ford Ikon 1.4 ZXi,2000,22000,42743,Petrol,Dealer,Manual,Third Owner,24,Ford,Budget,Low,Very Old,9.998797732340453,2,0,4,0,8,0,0,3
Chevrolet Beat Diesel LS,2013,130000,93900,Diesel,Individual,Manual,Second Owner,11,Chevrolet,Budget,Medium,Old,11.77528972943772,1,0,1,1,3,0,1,2
Maruti Zen VXi - BS III,2004,79000,80000,Petrol,Individual,Manual,First Owner,20,Maruti,Budget,Medium,Very Old,11.27720313144916,0,0,4,1,18,0,1,3
Chevrolet Beat Diesel LS,2012,120000,110000,Diesel,Individual,Manual,First Owner,12,Chevrolet,Budget,High,Old,11.695247021764184,0,0,1,1,3,0,2,2
BMW 7 Series 730Ld,2011,1700000,100000,Diesel,Individual,Automatic,Second Owner,13,BMW,Luxury,Medium,Old,14.346138809026444,1,1,1,1,2,3,1,2
Chevrolet Optra Magnum 2.0 LT,2012,300000,25000,Diesel,Individual,Manual,First Owner,12,Chevrolet,Budget,Low,Old,12.611537753638338,0,0,1,1,3,0,0,2
Maruti A-Star Lxi,2009,145000,25000,Petrol,Individual,Manual,First Owner,15,Maruti,Budget,Low,Old,11.884489021402711,0,0,4,1,18,0,0,2
Ford Endeavour 3.2 Titanium AT 4X4,2019,3200000,20000,Diesel,Individual,Automatic,First Owner,5,Ford,Luxury,Low,Recent,14.978661367769956,0,1,1,1,8,3,0,1
Chevrolet Spark 1.0 LT,2013,240000,10000,Petrol,Individual,Manual,First Owner,11,Chevrolet,Budget,Low,Old,12.388394202324129,0,0,4,1,3,0,0,2
Honda WR-V i-DTEC VX,2018,700000,30000,Diesel,Individual,Manual,First Owner,6,Honda,Premium,Low,Recent,13.458835614025542,0,0,1,1,9,2,0,1
Hyundai Accent GLX,2010,145000,110000,Petrol,Individual,Manual,Second Owner,14,Hyundai,Budget,High,Old,11.884489021402711,1,0,4,1,10,0,2,2
Maruti Ertiga VDI Limited Edition,2014,535000,80000,Diesel,Individual,Manual,Second Owner,10,Maruti,Mid-Range,Medium,Old,13.190022025878143,1,0,1,1,18,1,1,2
Mahindra KUV 100 mFALCON G80 K2 Plus,2016,420000,21000,Petrol,Individual,Manual,First Owner,8,Mahindra,Mid-Range,Low,Old,12.948009990259552,0,0,4,1,17,1,0,2
Maruti Alto K10 VXI,2016,350000,20000,Petrol,Individual,Manual,First Owner,8,Maruti,Mid-Range,Low,Old,12.765688433465597,0,0,4,1,18,1,0,2
Maruti Swift VDI BSIV,2015,550000,32000,Diesel,Individual,Manual,First Owner,9,Maruti,Mid-Range,Low,Old,13.217673557208654,0,0,1,1,18,1,0,2
Mitsubishi Montero 3.2 MT,2007,750000,180000,Diesel,Individual,Manual,First Owner,17,Mitsubishi,Premium,High,Very Old,13.527828485512494,0,0,1,1,20,2,2,3
Tata Indica Vista Aqua 1.3 Quadrajet ABS BSIV,2012,198000,70000,Diesel,Individual,Manual,Second Owner,12,Tata,Budget,Medium,Old,12.196022309676673,1,0,1,1,25,0,1,2
Hyundai i20 Magna Optional 1.4 CRDi,2013,420000,50000,Diesel,Individual,Manual,First Owner,11,Hyundai,Mid-Range,Low,Old,12.948009990259552,0,0,1,1,10,1,0,2
Ford Endeavour 4x2 XLT,2004,195000,120000,Diesel,Individual,Manual,First Owner,20,Ford,Budget,High,Very Old,12.180754837545884,0,0,1,1,8,0,2,3
Hyundai EON Sportz,2012,150000,55766,Petrol,Individual,Manual,Second Owner,12,Hyundai,Budget,Medium,Old,11.918390573078392,1,0,4,1,10,0,1,2
Nissan Micra XL,2011,275000,40000,Petrol,Individual,Manual,Second Owner,13,Nissan,Budget,Low,Old,12.524526376648708,1,0,4,1,21,0,0,2
Maruti 800 Std,2001,65000,60000,Petrol,Individual,Manual,Third Owner,23,Maruti,Budget,Medium,Very Old,11.082142548877775,2,0,4,1,18,0,1,3
Maruti Swift LXi BSIV,2008,200000,50000,Petrol,Individual,Manual,First Owner,16,Maruti,Budget,Low,Very Old,12.206072645530174,0,0,4,1,18,0,0,3
Maruti Swift Dzire VDi,2010,250000,110000,Diesel,Individual,Manual,Second Owner,14,Maruti,Budget,High,Old,12.429216196844383,1,0,1,1,18,0,2,2
Tata Indigo TDI,2013,182000,100000,Diesel,Individual,Manual,First Owner,11,Tata,Budget,Medium,Old,12.111761966058932,0,0,1,1,25,0,1,2
Maruti Zen VX,2001,85000,86000,Petrol,Individual,Manual,Second Owner,23,Maruti,Budget,Medium,Very Old,11.350406535472453,1,0,4,1,18,0,1,3
Maruti Swift VDI,2013,400000,50000,Diesel,Individual,Manual,First Owner,11,Maruti,Mid-Range,Low,Old,12.89921982609012,0,0,1,1,18,1,0,2
Maruti Baleno Delta 1.3,2017,650000,20000,Diesel,Individual,Manual,First Owner,7,Maruti,Premium,Low,Recent,13.38472764187182,0,0,1,1,18,2,0,1
Hyundai i10 Magna 1.2,2010,400000,50000,Petrol,Individual,Manual,First Owner,14,Hyundai,Mid-Range,Low,Old,12.89921982609012,0,0,4,1,10,1,0,2
Tata Manza Aura (ABS) Quadrajet BS IV,2012,295000,80000,Diesel,Individual,Manual,Second Owner,12,Tata,Budget,Medium,Old,12.594730635321957,1,0,1,1,25,0,1,2
Maruti Omni LPG STD BSIV,2006,60000,135000,LPG,Individual,Manual,Fourth & Above Owner,18,Maruti,Budget,High,Very Old,11.002099841204238,3,0,3,1,18,0,2,3
Maruti Zen D PS,2003,110000,120000,Diesel,Individual,Manual,Third Owner,21,Maruti,Budget,High,Very Old,11.608235644774552,2,0,1,1,18,0,2,3
Fiat Linea 1.3 Multijet Emotion,2015,550000,113600,Diesel,Individual,Manual,First Owner,9,Fiat,Mid-Range,High,Old,13.217673557208654,0,0,1,1,6,1,2,2
Hyundai Santro Xing GLS,2008,190000,70000,Petrol,Individual,Manual,Third Owner,16,Hyundai,Budget,Medium,Very Old,12.154779351142624,2,0,4,1,10,0,1,3
Ford Aspire Titanium Plus Diesel BSIV,2018,861999,20000,Diesel,Dealer,Manual,First Owner,6,Ford,Premium,Low,Recent,13.66700938955235,0,0,1,0,8,2,0,1
Ford Aspire Titanium Plus BSIV,2018,782000,14000,Petrol,Dealer,Manual,First Owner,6,Ford,Premium,Low,Recent,13.569610019527449,0,0,4,0,8,2,0,1
Ford Freestyle Titanium Plus Diesel BSIV,2018,836000,26000,Diesel,Dealer,Manual,First Owner,6,Ford,Premium,Low,Recent,13.636383892066839,0,0,1,0,8,2,0,1
Honda City i VTEC V,2016,696000,138925,Petrol,Dealer,Manual,First Owner,8,Honda,Premium,High,Old,13.453104939316557,0,0,4,0,9,2,2,2
Honda Jazz 1.5 VX i DTEC,2016,596000,121764,Diesel,Dealer,Manual,First Owner,8,Honda,Mid-Range,High,Old,13.297995946047488,0,0,1,0,9,1,2,2
Honda Jazz 1.2 VX i VTEC,2016,612000,105429,Petrol,Dealer,Manual,First Owner,8,Honda,Premium,High,Old,13.324487561494463,0,0,4,0,9,2,2,2
